id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_per_night,minimum_nights,annual_availability
16246948,Beautiful bright apartment with private terrace,10044989,Eixample,Sant Antoni,41.37664964,2.156501802,Entire home/apt,34,5,0
16247065,Sweet double room in la Sagrera,106224984,Sant Andreu,el Congrés i els Indians,41.42257017,2.182475348,Private room,25,1,0
16247653,Exclusive city center flat in the heart of BCN,2517389,Ciutat Vella,el Barri Gòtic,41.38277664,2.177094384,Entire home/apt,56,32,319
16247733,STYLISH PASSEIG DE GRACIA TWO-BEDROOM,8130906,Eixample,la Dreta de l'Eixample,41.39013756,2.168213142,Entire home/apt,285,3,306
16249380,Shinny Room to Discover Barcelona,36607755,Ciutat Vella,el Barri Gòtic,41.38011138,2.176684773,Private room,52,32,365
16251145,SEALONA CENTER IV,1716315,Eixample,la Dreta de l'Eixample,41.39178498,2.175863958,Entire home/apt,130,3,0
16251419,Horace house,106260127,Ciutat Vella,el Barri Gòtic,41.3819713,2.180071738,Private room,35,2,364
16252727,Family flat from 20 minutes to downtown,106269512,Sarrià-Sant Gervasi,les Tres Torres,41.39542029,2.134196724,Private room,42,3,364
16253608,Habitación Individual en Sagrada Familia,85793255,Eixample,la Sagrada Família,41.40835101,2.176389682,Private room,17,4,0
16255146,"Private Room, Hospital Clinic, Familiar Ambient",106289587,Eixample,la Nova Esquerra de l'Eixample,41.38622455,2.146985061,Private room,13,30,231
16255696,"Spacious room, 2 beds. | MId",15892125,Sant Martí,el Clot,41.41316824,2.191651005,Private room,15,1,334
16255854,AN ADVENTURE IN BARCELONA 1,106292646,Sants-Montjuïc,la Bordeta,41.37041235,2.138049617,Private room,22,1,81
16255969,Single or couple room with large bed,85351234,Gràcia,la Vila de Gràcia,41.39954334,2.160624578,Private room,13,7,0
16256991,Habitacion en El Centro del gotico,17450358,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38407205,2.179991754,Private room,49,1,89
16257364,"2J""COZY & DOWNTOWN ROOM / HABITACION CÉNTRICA""",13638491,Eixample,l'Antiga Esquerra de l'Eixample,41.38725339,2.15748413,Private room,27,1,14
16264473,Single Room in charming flat,8018665,Sants-Montjuïc,Hostafrancs,41.37773405,2.145421941,Private room,45,1,89
16266383,Cozy and Centric room with private bathroom,106375283,Eixample,el Fort Pienc,41.39554585,2.179909741,Private room,27,6,0
16266513,Shinny Eixample- Sagrada Familia Room,36607755,Eixample,la Sagrada Família,41.40470348,2.18108998,Private room,52,3,365
16266993,Cosy Room in Sagrada Familia,36607755,Eixample,la Sagrada Família,41.40483067,2.180973182,Private room,47,30,365
16270229,Lovely room with the best location ever!,19958535,Eixample,la Dreta de l'Eixample,41.39598202,2.169911727,Private room,60,3,0
16270398,Nice dble bedroom to share next to the sea/center,106401998,Sant Martí,el Poblenou,41.39613909,2.202595359,Private room,15,3,0
16270631,"Sunnyroom near the sea,CCIB,shopping center",23602270,Sant Martí,el Besòs i el Maresme,41.41716334,2.211547073,Private room,17,1,39
16272738,Comfortable double bedroom Parc Güell,13952311,Horta-Guinardó,el Baix Guinardó,41.4114049,2.163215713,Private room,84,2,82
